checklist_scientificName,english_name,checklist_kingdom,backbone_taxonKey,backbone_taxonomicStatus
Acacia mearnsii,Black wattle,Plantae,2979775,ACCEPTED
Acridotheres cristatellus,Crested myna,Animalia,2489010,ACCEPTED
Asterias amurensis,Northern pacific seastar,Animalia,5187508,ACCEPTED
Bipalium kewense,Arrowhead flatworm,Animalia,2502938,ACCEPTED
Brachyponera chinensis,Asian needle-ant,Animalia,10314173,ACCEPTED
Broussonetia papyrifera,Paper mulberry,Plantae,5361944,ACCEPTED
Castor canadensis,North American beaver,Animalia,2439838,ACCEPTED
Cervus nippon,Sika dear,Animalia,2440954,ACCEPTED
Cherax destructor,Common yabby,Animalia,4417558,ACCEPTED
Cipangopaludina chinensis,Chinese mystery snail,Animalia,9738098,ACCEPTED
Crassula helmsii,New Zealand pigmyweed,Plantae,5362054,ACCEPTED
Delairea odorata,Cape ivy,Plantae,3134183,ACCEPTED
Faxonius immunis,Calico crayfish,Animalia,8930656,ACCEPTED
Marisa cornuarietis,Ramshorn apple snail,Animalia,2292586,ACCEPTED
Misgurnus anguillicaudatus,Oriental weatherfish,Animalia,2367919,ACCEPTED
Misgurnus bipartitus,Northern oriental weatherfish,Animalia,2367913,ACCEPTED
Mulinia lateralis,Dwarf surf clamb,Animalia,2286388,ACCEPTED
Nanozostera japonica,Japanese eelgras,Plantae,2863941,ACCEPTED
Neogale vison,American mink,Animalia,5218823,ACCEPTED
Obama nungara,Obama flatworm,Animalia,8701771,ACCEPTED
Platydemus manokwari,New-guinea flatworm,Animalia,5892137,ACCEPTED
Pycnonotus jocosus,Red whiskered bulbul,Animalia,2486151,ACCEPTED
Reynoutria japonica,Japanese knotweed,Plantae,2889173,ACCEPTED
Reynoutria sachalinensis,Giant knotweed,Plantae,2889088,ACCEPTED
Vespa mandarinia,Giant asian hornet,Animalia,5871429,ACCEPTED
