key	nubKey	canonicalName	first_observed	last_observed	class	kingdom
213212543	5666	Gekkonidae	2011	2025	Squamata	Animalia
159748482	1002621	Keratella tropica	1974	1974	Eurotatoria	Animalia
159748469	1007534	Phaeostachys spinifera	1999	2000	Gymnolaemata	Animalia
159748473	1008610	Haplopoma graniferum	1999	2006	Gymnolaemata	Animalia
159748474	1008612	Haplopoma impressum	1999	2006	Gymnolaemata	Animalia
152544653	1010644	Hanseniella caldaria	2018	2018	Symphyla	Animalia
152544645	1013526	Cylindroiulus britannicus	2015	2015	Diplopoda	Animalia
213214605	1016841	Orthomorpha coarctata	2020	2020	Diplopoda	Animalia
152544627	1031512	Liposcelis brunnea	2018	2018	Insecta	Animalia
152544628	1031520	Liposcelis bostrychophila	2018	2018	Insecta	Animalia
152544630	1031524	Liposcelis paeta	2018	2018	Insecta	Animalia
152544607	1031564	Psoquilla marginepunctata	2018	2018	Insecta	Animalia
152544616	1031677	Trogium pulsatorium	2018	2018	Insecta	Animalia
152544620	1031680	Cerobasis annulata	2018	2018	Insecta	Animalia
152544613	1031685	Lepinotus reticulatus	2018	2018	Insecta	Animalia
152544600	1031743	Dorypteryx pallida	2018	2018	Insecta	Animalia
152544591	1032262	Enderleinellus kumadai	2004	2011	Insecta	Animalia
152544587	1032377	Hoplopleura erismata	2004	2011	Insecta	Animalia
152544545	1043978	Stelidota geminata	2018	2025	Insecta	Animalia
213214336	1045323	Pycnomerus sulcicollis	2021	2021	Insecta	Animalia
213214293	1111797	Chlorophorus annularis	2020	2024	Insecta	Animalia
182134456	1194885	Otiorhynchus meridionalis	2003	2018	Insecta	Animalia
182134455	1194989	Otiorhynchus cribricollis	2002	2018	Insecta	Animalia
182134454	1195013	Otiorhynchus aurifer	1999	2018	Insecta	Animalia
152544514	1316805	Tapinoma melanocephalum	2005	2018	Insecta	Animalia
152544520	1319260	Tetraponera allaborans	1980	2018	Insecta	Animalia
152544503	1320777	Plagiolepis pygmaea	1980	2018	Insecta	Animalia
152544508	1321805	Pheidole bilimeki	1911	2018	Insecta	Animalia
152544507	1322674	Pheidole anastasii	2018	2018	Insecta	Animalia
152544512	1323402	Tetramorium bicarinatum	1980	2025	Insecta	Animalia
152544494	1325561	Paratrechina longicornis	1980	2018	Insecta	Animalia
213213874	1349836	Hylaeus absolutus	2021	2021	Insecta	Animalia
213213878	1371011	Megastigmus spermotrophus	2020	2020	Insecta	Animalia
213213785	1411953	Carausius morosus	2020	2025	Insecta	Animalia
152544459	1419894	Euborellia annulipes	2016	2018	Insecta	Animalia
152544422	1420197	Aleurodothrips fasciapennis	2018	2018	Insecta	Animalia
152544448	1420612	Scirtothrips longipennis	2018	2018	Insecta	Animalia
152544453	1420765	Chaetanaphothrips orchidii	2018	2018	Insecta	Animalia
152544436	1420769	Aurantothrips orchidaceus	2018	2018	Insecta	Animalia
152544438	1420791	Leucothrips nigripennis	2018	2018	Insecta	Animalia
152544441	1420795	Heliothrips haemorrhoidalis	2018	2018	Insecta	Animalia
152544443	1420828	Hercinothrips bicinctus	2018	2018	Insecta	Animalia
152544445	1420829	Hercinothrips femoralis	2018	2018	Insecta	Animalia
152544431	1420846	Echinothrips americanus	2018	2023	Insecta	Animalia
