title_id;title_nl;description_nl;title_fr;description_fr;title_en;description_en
apply_gamObservations;Status van opkomst (GAM) - Gemodelleerd aantal waarnemingen;"<p>Gegeneraliseerd Additief Model (GAM) gebaseerd op het aantal waarnemingen van een soort.</p> 
<p>Dit model is gebaseerd op de <a href=""https://doi.org/10.5281/zenodo.3632749"" target=""_blank"">Occurrence cubes voor niet-inheemse taxa in België en Europa.</a>
<p>De zwarte punten geven het aantal waarnemingen van de soort weer per jaar. De trendlijn toont het verloop volgens een GAM, gebaseerd op deze waarnemingen. De kleuren geven de status van opkomst voor een bepaald jaar weer: <b style=""color: green;"">groene</b> bollen geven aan dat de soort niet opkomend is, <b style=""color: orange;"">oranje</b> dat de soort mogelijk opkomend is, <b style=""color: red;"">rode</b> dat de soort opkomend is en <b style=""color: grey;"">grijze</b> dat het model geen uitsluitsel kan geven.</p>
<p>Dit model kan gecorrigeerd worden op basis van waarnemers bias<sup>1</sup> en kan specifiek gelopen worden voor beschermde Natura2000 gebieden<sup>2</sup>.</p>
<p><i><sup>1</sup>Het aantal waarnemingen wordt gecorrigeerd ten opzichte van het aantal waarnemingen van de klasse van de soort (bv. in het geval van Cyperus eragrostis (<a href=""https://www.gbif.org/species/2715482"" target = ""_blank"">2715482</a>) worden waarnemingen van andere Liliopsida (<a href=""https://www.gbif.org/species/196"" target = ""_blank"">196</a>) in rekening gebracht).</i></br><i><sup>2</sup>Enkel waarnemingen waarvan de 1x1km gridcel overlapt met een Natura2000-gebied worden in rekening gebracht. Elke waarneming wordt toegewezen aan een willekeurige gridcel op basis van de nauwkeurigheid van de gerapporteerde locatie. Hierdoor kan het resultaat van het GAM-model voor Natura2000 gebieden licht variëren na een update.</i>
</p>Voor meer informatie over de gebruikte methode kan u steeds  <a href=""https://trias-project.github.io/indicators/07_occurrence_indicators_modelling.html"" target = ""_blank""> de documentatie van de TrIAS indicatoren</a> raadplegen.";Statut d'émergence (MAG) - Nombre d'observations modélisées;"<p>Modèle Additif Généralisé (MAG) basé sur le nombre d'observations d'une espèce.</p> <p>Les points noirs représentent le nombre d'observations de l'espèce par année. La ligne de tendance montre le GAM basé sur les observations. Les couleurs indiquent le statut d'émergence pour une année donnée. Les pointes <b style=""color: green;"">verts</b> indiquent que l'espèce n'est pas émergente, <b style=""color: orange;"">orange</b> que l'espèce est potentiellement émergente, <b style=""color: red;"">rouge</b> que l'espèce est émergente, et <b style=""color: grey;"">gris</b> que le modèle est non concluant.</p> <p>Ce modèle peut être corrigé en fonction du biais d'observateur<sup>1</sup> et peut être spécifiquement appliqué aux zones protégées Natura2000<sup>2</sup>.</p> <p><i><sup>1</sup>Le nombre d'observations est corrigé par rapport au nombre d'observations de la classe de l'espèce (par exemple dans le cas de Cyperus eragrostis (<a href=""https://www.gbif.org/species/2715482"" target = ""_blank"">2715482</a>), les observations d'autres Liliopsida (<a href=""https://www.gbif.org/species/196"" target = ""_blank"">196</a>) sont prises en compte).</i></br><i><sup>2</sup>Seules les observations dont la cellule de grille de 1x1km chevauche une zone Natura2000 sont prises en compte. Chaque observation se voit attribuer une cellule de grille aléatoire basée sur la précision de la localisation rapportée. Par conséquent, le résultat du GAM pour Natura2000 peut donner des résultats légèrement différents après une mise à jour.</i> </p>Pour plus d'informations concernant la méthode utilisée, veuillez consulter <a href=""https://trias-project.github.io/indicators/07_occurrence_indicators_modelling.html"" target = ""_blank"">la documentation des indicateurs TrIAS</a>.";Emergence status (GAM) - Modelled number of observations;"<p>Generalized Additive Model (GAM) based on the number of observations of a species.</p>

<p>This model is based on the <a href=""https://doi.org/10.5281/zenodo.3632749"" target=""_blank"">Occurrence cubes for non-native taxa in Belgium and Europe.</a></p>

<p>The black dots represent the number of observations of the species per year. The trend line shows the GAM based on these observations. The color of each dot reflects the species' emergence status for a given year: <b style=""color: green;"">green</b> indicates the species is not emerging, <b style=""color: orange;"">orange</b> indicates possible emergence, <b style=""color: red;"">red</b> signifies that the species is emerging, and <b style=""color: grey;"">grey</b> means the model is inconclusive.<p>

<p>This model can be corrected based on observer bias<sup>1</sup> and can be specifically applied to protected Natura2000 areas<sup>2</sup>.</p>

<p><i><sup>1</sup>The number of observations is corrected relative to the number of observations of the species' class (e.g., in the case of Cyperus eragrostis (<a href=""https://www.gbif.org/species/2715482"" target = ""_blank"">2715482</a>), observations of other Liliopsida (<a href=""https://www.gbif.org/species/196"" target = ""_blank"">196</a>) are taken into account)</i></br><i><sup>2</sup>Only observations whose 1x1km grid cell overlaps with a Natura2000 area are taken into account. Each observation is assigned a random grid cell based on the accuracy of the reported location. As a result, the GAM outcome for Natura2000 may give slightly different results after an update.</i>
</p>For more information regarding the method used, please refer to the <a href=""https://trias-project.github.io/indicators/07_occurrence_indicators_modelling.html"" target = ""_blank"">TrIAS indicators documentation</a>."
apply_gamOccupancy;Status van opkomst (GAM) - Gemodelleerde bezette oppervlakte;"<p>Gegeneraliseerd Additief Model (GAM) gebaseerd op de oppervlakte die bezet wordt door een soort.</p> 
<p>Dit model is gebaseerd op de <a href=""https://doi.org/10.5281/zenodo.3632749"" target=""_blank"">Occurrence cubes voor niet-inheemse taxa in België en Europa.</a>
<p>De zwarte punten geven het aantal bezette hokken van de soort weer per jaar. De trendlijn geeft de GAM gebaseerd op de graad van bezetting weer. De kleuren geven de status van opkomst voor een bepaald jaar weer. <b style=""color: green;"">Groene</b> bollen geven aan dat de soort niet opkomend is, <b style=""color: orange;"">oranje</b> dat de soort mogelijk opkomend is, <b style=""color: red;"">rode</b> dat de soort opkomend is en <b style=""color: grey;"">grijze</b> dat het model geen uitsluitsel kan geven.</p>
<p>Dit model kan gecorrigeerd worden op basis van waarnemers bias<sup>1</sup> en voorkomen in beschermde Natura2000 gebieden<sup>2</sup>.</p>
<p><i><sup>1</sup>Het aantal waarnemingen wordt gecorrigeerd ten opzichte van het aantal waarnemingen van de klasse van de soort, bvb in het geval van Cyperus eragrostis (<a href=""https://www.gbif.org/species/2715482"" target = ""_blank"">2715482</a>) worden waarnemingen van andere Liliopsida (<a href=""https://www.gbif.org/species/196"" target = ""_blank"">196</a>) in rekening gebracht.</i></br>
<i><sup>2</sup>Enkel waarnemingen wiens 1x1km hok overlap heeft met een Natura2000 gebied worden in rekening gebracht. Iedere observatie krijgt een willekeurig hok toegewezen gebaseerd op de nauwkeurigheid van de melding. Hierdoor kan het voorkomen dat het resultaat van de GAM voor Natura2000 na een update licht andere resultaten geeft</i></p>
<p>Voor meer informatie in verband met de gebruikte methode kan u steeds terecht bij de <a href=""https://trias-project.github.io/indicators/07_occurrence_indicators_modelling.html"" target = ""_blank"">TrIAS indicatoren</a></p>";Statut d'émergence (MAG) - Surface occupée modélisée;"<p>Modèle Additif Généralisé (MAG) basé sur la surface occupée par une espèce.</p> 
<p>Ce modèle est basé sur les <a href=""https://doi.org/10.5281/zenodo.3632749"" target=""_blank"">Cubes d’occurrence pour les taxons non indigènes en Belgique et en Europe.</a></p> 
<p>Les points noirs représentent le nombre de cellules de grille occupées par l’espèce chaque année. La ligne de tendance montre le GAM basé sur le degré d’occupation. Les couleurs indiquent le statut d’émergence pour une année spécifique. Les points <b style=""color: green;"">verts</b> indiquent que l’espèce n’est pas émergente, les points <b style=""color: orange;"">oranges</b> indiquent que l’espèce est potentiellement émergente, les points <b style=""color: red;"">rouges</b> indiquent que l’espèce est émergente, et les points <b style=""color: grey;"">gris</b> indiquent que le modèle est inconclusif.</p> 
<p>Ce modèle peut être corrigé en fonction du biais des observateurs<sup>1</sup> et de l’occurrence dans les zones protégées Natura2000<sup>2</sup>.</p> <p><i><sup>1</sup>Le nombre d’observations est corrigé par rapport au nombre d’observations de la classe de l’espèce, par exemple, dans le cas de Cyperus eragrostis (<a href=""https://www.gbif.org/species/2715482"" target = ""_blank"">2715482</a>), les observations d’autres Liliopsida (<a href=""https://www.gbif.org/species/196"" target = ""_blank"">196</a>) sont prises en compte.</i></br> <i><sup>2</sup>Seules les observations dont la cellule de grille 1x1 km chevauche une zone Natura2000 sont prises en compte. Chaque observation est assignée à une cellule de grille aléatoire en fonction de la précision du rapport. Par conséquent, les résultats du GAM pour Natura2000 peuvent légèrement différer après une mise à jour.</i></p> 
<p>Pour plus d’informations sur la méthode utilisée, veuillez consulter les <a href=""https://trias-project.github.io/indicators/07_occurrence_indicators_modelling.html"" target = ""_blank"">indicateurs TrIAS</a></p>";Emergence status (GAM) - Modelled occupied area;"<p>Generalized Additive Model (GAM) based on the area occupied by a species.</p>
<p>This model is based on the <a href=""https://doi.org/10.5281/zenodo.3632749"" target=""_blank"">Occurrence cubes for non-native taxa in Belgium and Europe.</a></p>
<p>The black dots represent the number of occupied grid cells of the species per year. The trend line shows the GAM based on the degree of occupation. The colors indicate the emergence status for a specific year. <b style=""color: green;"">Green</b> dots indicate that the species is not emerging, <b style=""color: orange;"">orange</b> that the species is possibly emerging, <b style=""color: red;"">red</b> that the species is emerging, and <b style=""color: grey;"">grey</b> that the model is inconclusive.</p>
<p>This model can be corrected based on observer bias<sup>1</sup> and occurrence in protected Natura2000 areas<sup>2</sup>.</p>
<p><i><sup>1</sup>The number of observations is corrected relative to the number of observations of the species' class, e.g., in the case of Cyperus eragrostis (<a href=""https://www.gbif.org/species/2715482"" target = ""_blank"">2715482</a>), observations of other Liliopsida (<a href=""https://www.gbif.org/species/196"" target = ""_blank"">196</a>) are taken into account.</i></br>
<i><sup>2</sup>Only observations whose 1x1km grid cell overlaps with a Natura2000 area are taken into account. Each observation is assigned a random grid cell based on the accuracy of the report. As a result, the GAM output for Natura2000 may show slightly different results after an update.</i></p>
<p>For more information regarding the method used, please refer to the <a href=""https://trias-project.github.io/indicators/07_occurrence_indicators_modelling.html"" target = ""_blank"">TrIAS indicators</a></p>"
barplotLenteNesten;Voorjaarsnesten;Het aantal op vespawatch.be gemelde nesten tussen 1 januari en 19 mei;Nids de printemps;Le nombre de nids signalés sur vespawatch.be entre le 1er janvier et le 19 mai;Spring nests;The number of nests reported on vespawatch.be between January 1 and May 19
countNesten;Aantal nesten per provincie (figuur);Het aantal op vespawatch.be gemelde nesten per provincie.</br><em>Data beschikbaar tot {{maxDate}}<em>;Nombre de nids par province (figure);Le nombre de nids signalés sur vespawatch.be par province. </br><em>Dates disponibles jusqu'à {{maxDate}}<em>;Number of nests per province (figure);The number of nests reported on vespawatch.be per province.</br><em>Dates available until {{maxDate}}<em>
indicator_introduction_year;Aantal nieuw geïntroduceerde soorten per jaar;"Deze grafiek geeft een tijdsreeks weer van het aantal nieuw geïntroduceerde uitheemse soorten in België. De punten geven het aantal geïntroduceerde soorten weer voor een specifiek jaar (indien gegevens beschikbaar zijn), gebaseerd op de datum van de eerste waarneming van de soort zoals aangeven in de <a href=""https://www.gbif.org/dataset/6d9e952f-948c-4483-9807-575348147c7e\"" target=""_blank""> GRIIS-checklist </a>. De algemene trend, gefit met behulp van een LOESS-model, wordt weergegeven in <b style=""color:#356196ff;"">blauw</b>, terwijl het <b style=""color:#94a7baff;"">blauw gearceerde gebied</b> het 95% betrouwbaarheidsinterval aangeeft.";Nombre d'espèces nouvellement introduites par an;"Ce graphique présente une série chronologique du nombre d'espèces exotiques nouvellement introduites en Belgique. Les points indiquent le nombre d'espèces introduites pour une année donnée (si des données sont disponibles), basé sur la date de la première observation de l'espèce, comme indiqué dans la <a href=""https://www.gbif.org/dataset/6d9e952f-948c-4483-9807-575348147c7e\"" target=""_blank"">liste de contrôle GRIIS</a>. La tendance générale, ajustée à l'aide d'un modèle LOESS, est représentée en <b style=""color:#356196ff;"">bleu</b>, tandis que la zone <b style=""color:#94a7baff;"">ombrée en bleu</b> indique l'intervalle de confiance à 95%.";Number of newly introduced species per year;"This graph displays a timeseries of the number of newly introduced alien species in Belgium. Dots represent the number of introduced alien species in a given year (if data are available) based on the date of first observation of the species indicated on the <a href=""https://www.gbif.org/dataset/6d9e952f-948c-4483-9807-575348147c7e"" target=""_blank""> GRIIS checklist</a>. The overall trend, fitted using a LOESS model, is highlighted in  <b style=""color:#356196ff;"">blue</b>, while the <b style=""color:#94a7baff;"">blue shaded area</b> represents the 95% confidence interval."
indicator_total_year;Cumulatief aantal geïntroduceerde soorten;"Deze grafiek toont het cumulatieve aantal geïntroduceerde uitheemse soorten in België, gebaseerd op hun jaar van eerste observatie, zoals gedocumenteerd in de <a href=""https://www.gbif.org/dataset/6d9e952f-948c-4483-9807-575348147c7e"" target=""_blank"">GRIIS-checklist</a>.";Nombre cumulé d'espèces introduites;"Ce graphique illustre le nombre cumulatif d'espèces exotiques introduites en Belgique, basé sur leur année de première observation, telle que documentée dans la <a href=""https://www.gbif.org/dataset/6d9e952f-948c-4483-9807-575348147c7e"" target=""_blank"">liste GRIIS</a>.";Cumulative number of introduced species;"This graph illustrates the cumulative number of alien species introduced in Belgium, based on their year of first observation as documented in the <a href=""https://www.gbif.org/dataset/6d9e952f-948c-4483-9807-575348147c7e"" target=""_blank""> GRIIS checklist </a>."
indicator_native_range_year;Aantal geïntroduceerde soorten per jaar en per continent van oorsprong;"<p>Het aantal geïntroduceerde soorten per jaar van eerste waarneming in België en per continent van oorsprong (of natuurlijke verspreiding)</p>
<p><i>Verdere onderverdeling van continenten in subregio's is mogelijk door de optie ""natuurlijke verspreiding"" te selecteren in het dropdown-menu voor regio-schaal.</i></p>";Nombre d'espèces introduites par an et par continent d'origine;"<p>Le nombre d'espèces introduites par année de première observation en Belgique et par continent d'origine (ou aire d'origine)</p> 
<p><i>Une subdivision plus détaillée des continents en sous-régions est possible en sélectionnant l'option ""aire d'origine"" dans le menu déroulant du niveau de région.</i></p>";Number of introduced species per year and per native continent;"<p>The number of introduced species per year of first observation in Belgium and per native continent (or range)</p>
<p><i>Further subdivision of continents into subregions is possible by selecting the ""native range"" option in the region level dropdown menu.</i></p>"
countOccupancy;Trend in de bezetting van Unielijstsoorten in Vlaanderen;"<img src=""https://cdn-icons-png.flaticon.com/512/7801/7801791.png"" alt=""attention"" style=""width:15px;height:15px;""> <i>AANDACHT: Deze figuur is onafhankelijk van geselecteerde filters bovenaan.</i>
<br>
<br>
Deze grafiek toont de trend in bezetting (d.w.z. het percentage bezette 10 km<sup>2</sup> hokken) in Vlaanderen voor alle soorten die op <a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:02016R1141-20220802&from=EN"" target=""_blank""> de lijst van soorten van Uniebelang</a> staan. Voor elke soort wordt de bezetting op het moment van opname in de Unie-lijst aangegeven in <span style=""color: #4f7c9bff;"">blauw</span> (Basis), terwijl de bezetting tijdens de meest recente driejaarlijkse rapporteringsperiode wordt weergegeven in <span style=""color: #e87837ff;"">oranje</span> (Rapportering).";Tendance d'occupation des espèces de la liste de l'Union en Flandre;"<I>ATTENTION : Graphique indépendant des filtres sélectionnés ci-dessus.</I>
<br><br>
Ce graphique affiche le tendance d'occupation (c.-à-d. le pourcentage de cellules de 10 km<sup>2</sup> occupées) en Flandre pour toutes les espèces incluses dans 
<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:02016R1141-20220802&from=EN"" target=""_blank""> la liste des espèces d'intérêt de l'Union</a>. 
Pour chaque espèce, l'occupation au moment de son inclusion dans la liste de l'Union est indiquée en 
<span style=""color: #4f7c9bff;"">bleu</span> (Base), tandis que l'occupation pendant la période de rapport triennal la plus récente est représentée en 
<span style=""color: #e87837ff;"">orange</span> (Rapport).";Trend in occupancy of Union list species in Flanders;"<I>NOTE: Plot independent of the selected filters above.</I>
<br>
<br>
This graph displays the trend in occupancy (i.e., the percentage of occupied 10 km<sup>2</sup> cells) in Flanders for all species that are included in <a href= ""https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:02016R1141-20220802&from=EN"" target=""_blank""> the list of species of Union concern</a>. For each species, the occupancy at the time of  its inclusion on the Union list is indicated in <span style=""color: #4f7c9bff;"">blue</span> (baseline), while the occupancy during the most recent three-year reporting period is represented in <span style=""color: #e87837ff;"">orange</span> (reporting)."
get_table_pathways;Aantal geïntroduceerde soorten per introductieroute;"Deze tabel toont het aantal geïntroduceerde soorten en (maximaal) vijf voorbeelden per introductieroute-categorie en bijbehorende subcategorieën, zoals gespecificeerd in
 <a href=""https://www.cbd.int/doc/c/9d85/3bc5/d640f059d03acd717602cd76/sbstta-22-inf-09-en.pdf"" target = ""_blank"">de CBD categorieën</a>.";Nombre d'espèces introduites par voie d'introduction;Ce tableau montre le nombre d'espèces introduites et (au maximum) cinq exemples par catégorie de voie d'introduction et ses sous-catégories correspondantes, comme spécifié dans <a href='https://www.cbd.int/doc/c/9d85/3bc5/d640f059d03acd717602cd76/sbstta-22-inf-09-en.pdf' target='_blank'>les catégories CBD</a>.;Number of introduced species per introduction pathway;"This table displays the number of introduced species and (maximum) five species examples for each introduction pathway category and its corresponding subcategories, as specified in the
 <a href=""https://www.cbd.int/doc/c/9d85/3bc5/d640f059d03acd717602cd76/sbstta-22-inf-09-en.pdf"" target = ""_blank"">CBD categories</a>."
management2_active-mapHeat;Actieve haarden;"Deze kaart illustreert waar de Aziatische hoornaar is waargenomen, maar waar nog geen nest succesvol beheerd werd. Op deze plaatsen vinden mogelijks opsporingsacties plaats door de Vespawatchers.
Waarnemingen worden weerhouden wanneer ze zich verder dan 2km van een succesvol beheerd nest bevinden en/of na een succesvolle beheeractie gemeld worden. Hoe intenser het rood, hoe meer meldingen er dicht bij elkaar liggen.
Ontbrekende nesten kunnen steeds gemeld worden op <a href=""https://vespawatch.be"" target = ""_blank"">vespawatch.be</a>.
</br><em>Data beschikbaar tot {{maxDate}}</em>";Points chauds actifs;"Cette carte illustre les endroits où des frelons asiatiques ont été signalées, mais où aucun nid n'a encore été géré avec succès. Les observateurs Vespa peuvent mener des enquêtes à ces endroits.
Les observations sont conservées si elles sont situées à plus de 2 km d'un nid géré avec succès et/ou sont rapportées après une action de gestion réussie. Plus le rouge est intense, plus il y a de notifications à proximité les unes des autres.
Les nids manquants peuvent toujours être signalés sur <a href=""https://vespawatch.be"" target = ""_blank"">vespawatch.be</a>.
</br><em>Dates disponibles jusqu'au {{maxDate}}</em>";Active hotbeds;"This map illustrates where the Asian hornet has been sighted, but where no nest has yet been successfully managed. Vespa watchers may conduct investigations at these locations.
Observations are retained if they are located further than 2km from a successfully managed nest and/or are reported after a successful management action. The more intense red, the more notifications there are in close proximity to each other.
Missing nests can always be reported at <a href=""https://vespawatch.be"" target = ""_blank"">vespawatch.be</a>.
</br><em>Dates available until {{maxDate}}</em>"
